Issue Type,Summary,Description,Epic Name,Epic Link,Sprint,Story Points,Components,Labels
Epic,EPIC A - Local Dev & Quality Gates,"Goal: repeatable local dev + honest quality gates (no false-green CI).",EPIC A - Local Dev & Quality Gates,,Sprint 1,,,dev,course
Epic,EPIC B - Backend Production Hardening,"Goal: backend behaves predictably; config/secrets consistent across environments.",EPIC B - Backend Production Hardening,,Sprint 2,,,backend,course
Epic,EPIC C - Frontend (React UI + Node Host),"Goal: realistic UI that drives the full e-commerce journey.",EPIC C - Frontend (React UI + Node Host),,Sprint 3,,,frontend,course
Epic,EPIC D - Kubernetes Prod-like (Local K8s → EKS-ready),"Goal: run the full system on local Kubernetes with Gateway API and config patterns that match EKS.",EPIC D - Kubernetes Prod-like (Local K8s → EKS-ready),,Sprint 4,,,k8s,course
Epic,EPIC E - AWS Staging/Prod + CI/CD,"Goal: real-world staging deployment pipeline to EKS + safe production release.",EPIC E - AWS Staging/Prod + CI/CD,,Sprint 5,,,cicd,course
Epic,EPIC F - Observability + Ops (Monitoring/DR),"Goal: metrics/logs/alerts/backups are verifiable; do a restore drill.",EPIC F - Observability + Ops (Monitoring/DR),,Sprint 6,,,ops,course

Story,ST-1 Local runbook + demo script,"As a learner, I can run and demo the full flow locally reliably.\nAC: (1) start/stop commands documented, (2) one scripted demo that validates health + full journey, (3) logs capture steps.",,EPIC A - Local Dev & Quality Gates,Sprint 1,5,docs,"course,sprint-1"
Task,TASK ST-1.1 Add demo script skeleton,"Create scripts/demo-local.sh that runs health checks + journey calls (register/login/create product/cart/order).",,EPIC A - Local Dev & Quality Gates,Sprint 1,2,docs,"course,sprint-1"
Task,TASK ST-1.2 Tighten Quickstart for course,"Make QUICKSTART the single source of truth for local demo steps; add a short 'Sprint Review Demo' section.",,EPIC A - Local Dev & Quality Gates,Sprint 1,1,docs,"course,sprint-1"
Task,TASK ST-1.3 Capture demo evidence template,"Add course/DEMO_EVIDENCE.md template: commands + expected outputs + screenshot checklist.",,EPIC A - Local Dev & Quality Gates,Sprint 1,2,docs,"course,sprint-1"

Story,ST-2 Make CI honest (remove default skipping),"As a maintainer, CI reflects real quality.\nAC: lint/test/format jobs fail when misconfigured; no 'echo skipping' masking failures.",,EPIC A - Local Dev & Quality Gates,Sprint 1,5,cicd,"course,sprint-1"
Task,TASK ST-2.1 Decide minimal lint/test per service,"Node: eslint + basic test placeholder. Python: ruff/flake8 + pytest baseline.",,EPIC A - Local Dev & Quality Gates,Sprint 1,2,cicd,"course,sprint-1"
